api,family,method,http,path,operation_id,mutating,paging,deprecated,media_download,media_upload,scopes,narrowest_scope,summary
gmail,users.settings,updateLanguage,PUT,gmail/v1/users/{userId}/settings/language,gmail.users.settings.updateLanguage,yes,,,,,gmail.settings.basic,https://www.googleapis.com/auth/gmail.settings.basic,"Updates language settings. For more information, see [Manage language settings](https://developers.google.com/workspace/gmail/api/guides/language-settings). If successful, the return object contains the `displayLanguage` that was saved for the user, which may differ from the value passed into the re"
gmail,users.settings,updatePop,PUT,gmail/v1/users/{userId}/settings/pop,gmail.users.settings.updatePop,yes,,,,,gmail.settings.basic,https://www.googleapis.com/auth/gmail.settings.basic,"Updates POP settings. For more information, see [Configure POP and IMAP settings with the Gmail API](https://developers.google.com/workspace/gmail/api/guides/pop_imap_settings)."
gmail,users.settings,updateVacation,PUT,gmail/v1/users/{userId}/settings/vacation,gmail.users.settings.updateVacation,yes,,,,,gmail.settings.basic,https://www.googleapis.com/auth/gmail.settings.basic,"Updates vacation responder settings. For more information, see [Manage vacation settings with the Gmail API](https://developers.google.com/workspace/gmail/api/guides/vacation_settings)."
gmail,users.settings.cse.identities,create,POST,gmail/v1/users/{userId}/settings/cse/identities,gmail.users.settings.cse.identities.create,yes,,,,,gmail.settings.basic gmail.settings.sharing,https://www.googleapis.com/auth/gmail.settings.basic,Creates and configures a client-side encryption identity that's authorized to send mail from the user account. Google publishes the S/MIME certificate to a shared domain-wide directory so that people within a Google Workspace organization can encrypt and send mail to the identity. For administrators
gmail,users.settings.cse.identities,delete,DELETE,gmail/v1/users/{userId}/settings/cse/identities/{cseEmailAddress},gmail.users.settings.cse.identities.delete,yes,,,,,gmail.settings.basic gmail.settings.sharing,https://www.googleapis.com/auth/gmail.settings.basic,"Deletes a client-side encryption identity. The authenticated user can no longer use the identity to send encrypted messages. You cannot restore the identity after you delete it. Instead, use the CreateCseIdentity method to create another identity with the same configuration. For administrators manag"
gmail,users.settings.cse.identities,get,GET,gmail/v1/users/{userId}/settings/cse/identities/{cseEmailAddress},gmail.users.settings.cse.identities.get,,,,,,https://mail.google.com/ gmail.modify gmail.readonly gmail.settings.basic gmail.settings.sharing,https://www.googleapis.com/auth/gmail.readonly,"Retrieves a client-side encryption identity configuration. For administrators managing identities and keypairs for users in their organization, requests require authorization with a [service account](https://developers.google.com/identity/protocols/OAuth2ServiceAccount) that has [domain-wide delegat"
gmail,users.settings.cse.identities,list,GET,gmail/v1/users/{userId}/settings/cse/identities,gmail.users.settings.cse.identities.list,,cursor,,,,https://mail.google.com/ gmail.modify gmail.readonly gmail.settings.basic gmail.settings.sharing,https://www.googleapis.com/auth/gmail.readonly,"Lists the client-side encrypted identities for an authenticated user. For administrators managing identities and keypairs for users in their organization, requests require authorization with a [service account](https://developers.google.com/identity/protocols/OAuth2ServiceAccount) that has [domain-w"
gmail,users.settings.cse.identities,patch,PATCH,gmail/v1/users/{userId}/settings/cse/identities/{emailAddress},gmail.users.settings.cse.identities.patch,yes,,,,,gmail.settings.basic gmail.settings.sharing,https://www.googleapis.com/auth/gmail.settings.basic,"Associates a different key pair with an existing client-side encryption identity. The updated key pair must validate against Google's [S/MIME certificate profiles](https://support.google.com/a/answer/7300887). For administrators managing identities and keypairs for users in their organization, reque"
gmail,users.settings.cse.keypairs,create,POST,gmail/v1/users/{userId}/settings/cse/keypairs,gmail.users.settings.cse.keypairs.create,yes,,,,,gmail.settings.basic gmail.settings.sharing,https://www.googleapis.com/auth/gmail.settings.basic,"Creates and uploads a client-side encryption S/MIME public key certificate chain and private key metadata for the authenticated user. For administrators managing identities and keypairs for users in their organization, requests require authorization with a [service account](https://developers.google"
gmail,users.settings.cse.keypairs,disable,POST,gmail/v1/users/{userId}/settings/cse/keypairs/{keyPairId}:disable,gmail.users.settings.cse.keypairs.disable,yes,,,,,gmail.settings.basic gmail.settings.sharing,https://www.googleapis.com/auth/gmail.settings.basic,"Turns off a client-side encryption key pair. The authenticated user can no longer use the key pair to decrypt incoming CSE message texts or sign outgoing CSE mail. To regain access, use the EnableCseKeyPair to turn on the key pair. After 30 days, you can permanently delete the key pair by using the "
gmail,users.settings.cse.keypairs,enable,POST,gmail/v1/users/{userId}/settings/cse/keypairs/{keyPairId}:enable,gmail.users.settings.cse.keypairs.enable,yes,,,,,gmail.settings.basic gmail.settings.sharing,https://www.googleapis.com/auth/gmail.settings.basic,"Turns on a client-side encryption key pair that was turned off. The key pair becomes active again for any associated client-side encryption identities. For administrators managing identities and keypairs for users in their organization, requests require authorization with a [service account](https:/"
gmail,users.settings.cse.keypairs,get,GET,gmail/v1/users/{userId}/settings/cse/keypairs/{keyPairId},gmail.users.settings.cse.keypairs.get,,,,,,https://mail.google.com/ gmail.modify gmail.readonly gmail.settings.basic gmail.settings.sharing,https://www.googleapis.com/auth/gmail.readonly,"Retrieves an existing client-side encryption key pair. For administrators managing identities and keypairs for users in their organization, requests require authorization with a [service account](https://developers.google.com/identity/protocols/OAuth2ServiceAccount) that has [domain-wide delegation "
gmail,users.settings.cse.keypairs,list,GET,gmail/v1/users/{userId}/settings/cse/keypairs,gmail.users.settings.cse.keypairs.list,,cursor,,,,https://mail.google.com/ gmail.modify gmail.readonly gmail.settings.basic gmail.settings.sharing,https://www.googleapis.com/auth/gmail.readonly,"Lists client-side encryption key pairs for an authenticated user. For administrators managing identities and keypairs for users in their organization, requests require authorization with a [service account](https://developers.google.com/identity/protocols/OAuth2ServiceAccount) that has [domain-wide "
gmail,users.settings.cse.keypairs,obliterate,POST,gmail/v1/users/{userId}/settings/cse/keypairs/{keyPairId}:obliterate,gmail.users.settings.cse.keypairs.obliterate,yes,,,,,gmail.settings.basic gmail.settings.sharing,https://www.googleapis.com/auth/gmail.settings.basic,"Deletes a client-side encryption key pair permanently and immediately. You can only permanently delete key pairs that have been turned off for more than 30 days. To turn off a key pair, use the DisableCseKeyPair method. Gmail can't restore or decrypt any messages that were encrypted by an obliterate"
gmail,users.settings.delegates,create,POST,gmail/v1/users/{userId}/settings/delegates,gmail.users.settings.delegates.create,yes,,,,,gmail.settings.sharing,https://www.googleapis.com/auth/gmail.settings.sharing,"Adds a delegate with its verification status set directly to `accepted`, without sending any verification email. The delegate user must be a member of the same Google Workspace organization as the delegator user. For more information, see [Manage delegates](https://developers.google.com/workspace/gm"
gmail,users.settings.delegates,delete,DELETE,gmail/v1/users/{userId}/settings/delegates/{delegateEmail},gmail.users.settings.delegates.delete,yes,,,,,gmail.settings.sharing,https://www.googleapis.com/auth/gmail.settings.sharing,"Removes the specified delegate (which can be of any verification status), and revokes any verification that may have been required for using it. For more information, see [Manage delegates](https://developers.google.com/workspace/gmail/api/guides/delegate_settings). A delegate user must be referred "
